key,locatorCode,purchaseMoment,travelClass,price,lastCreditCardNibble,key:customer
booking1,B8IENGZL,2021/12/14 09:41,BUSINESS,399.75 EUR,4842,customer2
booking2,CXVFVBW8,2021/12/30 05:47,BUSINESS,286.50 EUR,3966,customer3
booking3,L3OTFB9O,2021/12/25 04:16,BUSINESS,107.64 EUR,2863,customer3
booking4,FRSOUJQS,2021/12/19 02:50,BUSINESS,219.95 EUR,3612,customer1
booking5,A8YWY3K0,2021/12/01 20:15,ECONOMY,72.92 EUR,5553,customer3
booking6,ZKJXNW9D,2021/12/21 18:03,BUSINESS,413.25 EUR,1734,customer3
booking7,NGLQ5PCT,2021/12/26 11:22,ECONOMY,459.80 EUR,4826,customer3
booking8,MT0YWJH3,2021/12/09 22:19,BUSINESS,176.32 EUR,3204,customer1
booking9,VFJ5PRD0,2021/12/27 14:38,BUSINESS,361.12 EUR,1551,customer3
booking10,O8W3LJXN,2021/12/04 09:05,ECONOMY,209.98 EUR,2447,customer1
booking11,WXB8QNOJ,2021/12/13 20:10,ECONOMY,146.43 EUR,2993,customer3
booking12,JHZFON8M,2021/12/02 06:55,BUSINESS,355.27 EUR,1835,customer3
booking13,GP3YNZ5L,2021/12/06 15:33,ECONOMY,202.89 EUR,5241,customer2
booking14,NK9GWLXJ,2021/12/11 13:12,BUSINESS,329.60 EUR,8759,customer1
booking15,B0MTWYXN,2021/12/29 17:45,ECONOMY,143.99 EUR,9463,customer2
booking16,QLWN8ZJH,2021/12/08 16:24,BUSINESS,289.33 EUR,1037,customer2
booking17,ZP3WMLJX,2021/12/24 07:31,ECONOMY,257.88 EUR,3490,customer3
booking18,GJ5NYOZL,2021/12/23 19:42,ECONOMY,324.66 EUR,2904,customer1
booking19,WNZ8QLXJ,2021/12/05 12:57,BUSINESS,312.79 EUR,7374,customer3
booking20,TPJXWBLN,2021/12/17 21:05,ECONOMY,291.47 EUR,6129,customer2
