key,updateMoment,step,resolutionPercentage,indicator,resolution,key:claim
trackingLog-00,2012/07/02 00:00,this is a test step,55,false,this is a test resolution,claim-01
trackingLog-01,2000/01/01 00:00,this is a test step,55,false,this is a test resolution,claim-01
trackingLog-02,2020/12/31 23:59,this is a test step,55,false,this is a test resolution,claim-01
trackingLog-03,2021/01/01 00:00,this is a test step,55,false,this is a test resolution,claim-01
trackingLog-04,2000/01/01 00:00,this is a test step,55,false,this is a test resolution,claim-01
trackingLog-05,2000/01/01 00:01,this is a test step,55,false,this is a test resolution,claim-01
trackingLog-06,2012/07/02 00:00,L,55,false,this is a test resolution,claim-01
trackingLog-07,2012/07/02 00:00,Lo,55,false,this is a test resolution,claim-01
trackingLog-08,2012/07/02 00:00,"The attribute name must be exactly fifty charac",55,false,this is a test resolution,claim-01
trackingLog-09,2012/07/02 00:00,"The attribute name must be exactly fifty chara",55,false,this is a test resolution,claim-01
trackingLog-10,2012/07/02 00:00,โลเร็ม อิปซัม,55,false,this is a test resolution,claim-01
trackingLog-11,2012/07/02 00:00,洛伦·伊普森,55,false,this is a test resolution,claim-01
trackingLog-12,2012/07/02 00:00,SAFE_STEP,55,false,this is a test resolution,claim-01
trackingLog-13,2012/07/02 00:00,SECURE_ACTION,55,false,this is a test resolution,claim-01
trackingLog-14,2012/07/02 00:00,VALIDATION_CHECK,55,false,this is a test resolution,claim-01
trackingLog-15,2000/07/01 00:00,this is a test step,0.00,false,this is a test resolution,claim-01
trackingLog-16,2021/12/31 23:59,this is a test step,0.01,false,this is a test resolution,claim-01
trackingLog-17,2020/01/01 00:00,this is a test step,100,true,this is a test resolution,claim-01
trackingLog-18,2000/01/01 00:00,this is a test step,99.99,false,this is a test resolution,claim-01
trackingLog-19,2012/07/02 00:00,this is a test step,55,false,this is a test resolution,claim-01
trackingLog-20,2012/07/02 00:00,this is a test step,100,true,this is a test resolution,claim-01
trackingLog-21,2012/07/02 00:00,this is a test step,100,true,this is a test resolution,claim-01
