key,locatorCode,purchaseMoment,travelClass,lastCreditCardNibble,key:customer,key:flight,isPublished
booking1,B8IENGZL,2021/12/14 09:41,BUSINESS,4842,customer-2,flight-01,true
booking2,CXVFVBW8,2021/12/30 05:47,BUSINESS,3966,customer-1,flight-02,true
booking3,L3OTFB9O,2021/12/25 04:16,BUSINESS,2863,customer-3,flight-02,true
booking4,FRSOUJQS,2021/12/19 02:50,BUSINESS,3612,customer-1,flight-02,true
booking5,A8YWY3K0,2021/12/01 20:15,ECONOMY,5553,customer-1,flight-02,true
booking6,ZKJXNW9D,2021/12/21 18:03,BUSINESS,1734,customer-1,flight-01,true
booking7,NGLQ5PCT,2021/12/26 11:22,ECONOMY,4826,customer-1,flight-01,true
booking8,MT0YWJH3,2021/12/09 22:19,BUSINESS,3204,customer-4,flight-01,true
booking9,VFJ5PRD0,2021/12/27 14:38,BUSINESS,1551,customer-4,flight-02,true
booking10,O8W3LJXN,2021/12/04 09:05,ECONOMY,2447,customer-4,flight-01,true
booking11,WXB8QNOJ,2021/12/13 20:10,ECONOMY,2993,customer-2,flight-02,true
booking12,JHZFON8M,2021/12/02 06:55,BUSINESS,1835,customer-2,flight-01,false
booking13,GP3YNZ5L,2021/12/06 15:33,ECONOMY,5241,customer-2,flight-02,false
booking14,NK9GWLXJ,2021/12/11 13:12,BUSINESS,8759,customer-3,flight-01,false
booking15,B0MTWYXN,2021/12/29 17:45,ECONOMY,9463,customer-3,flight-02,false
booking16,QLWN8ZJH,2021/12/08 16:24,BUSINESS,1037,customer-2,flight-01,false
booking17,ZP3WMLJX,2021/12/24 07:31,ECONOMY,3490,customer-1,flight-02,false
booking18,GJ5NYOZL,2021/12/23 19:42,ECONOMY,2904,customer-1,flight-02,false
booking19,WNZ8QLXJ,2021/12/05 12:57,BUSINESS,7374,customer-2,flight-01,false
booking20,TPJXWBLN,2021/12/17 21:05,ECONOMY,6129,customer-1,flight-02,false
booking21,AAAXWBLN,2021/12/17 21:05,ECONOMY,6129,customer-1,flight-02,true
