key,name,iataCode,website,type,foundationMoment,email,phoneNumber
airline1,Air Global,AGX,http://www.airglobal.com,LUXURY,2005/05/12 14:30,contact@airglobal.com,+123456789012
airline2,Blue Sky Airlines,BSX,http://www.bluesky.com,STANDARD,2001/09/25 09:45,info@bluesky.com,+987654321098
airline3,Sunset Airways,SUX,http://www.sunsetair.com,LOW_COST,2007/03/15 16:10,help@sunsetair.com,+112233445566
airline4,Mountain Air,MNX,http://www.mountainair.com,STANDARD,2003/07/30 10:00,support@mountainair.com,+334455667788
airline5,Oceanic Flights,OCX,http://www.oceanicflights.com,LOW_COST,2002/11/10 07:30,info@oceanicflights.com,+556677889900
airline6,Star Airlines,STX,http://www.starairlines.com,LUXURY,2010/01/20 13:15,info@starairlines.com,+123456789
airline7,Windy Air,WIX,http://www.windyair.com,STANDARD,2015/06/05 11:55,sales@windyair.com,+667788990011
airline8,Eagle Wings,EWX,http://www.eaglewings.com,LOW_COST,2008/04/14 08:40,info@eaglewings.com,+778899001122
airline9,Northern Lights Airways,NLX,http://www.northernlights.com,LUXURY,2006/12/22 18:20,booking@northernlights.com,+999111222333
airline10,Thunder Jet,TJX,http://www.thunderjet.com,STANDARD,2012/09/11 12:05,contact@thunderjet.com,+889900112233
