key,name,moment,subject,text,score,recommended
review-01,Juan,2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-02,L,2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-03,Lo,2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-04,"Lorem ipsum dolor sit amet consectetur adipiscin",2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-05,"Lorem ipsum dolor sit amet consectetur adipiscing",2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-06,โลเร็ม อิปซัม,2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-07,لوريم إيبسوم,2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-08,洛伦·伊普森,2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-09,SAFE_NAME,2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-10,SECURE_ENTRY,2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-11,VALID_USER,2000/09/01 10:00,Organizacion,Me ha decepcionado,7.00,true
review-12,Juan,2000/01/01 00:00,Organizacion,Me ha decepcionado,7.00,true
review-13,Juan,2000/01/01 00:01,Organizacion,Me ha decepcionado,7.00,true
review-14,Juan,2021/12/31 23:59,Organizacion,Me ha decepcionado,7.00,true
review-15,Juan,2020/01/01 00:00,Organizacion,Me ha decepcionado,7.00,true
